SMILES,salt,molality,temperature,log_conductivity,is_synthetic,Tg,T_minus_Tg,is_glassy
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,36.90406103,-6.075758,0,-20.89937400817871,57.80343503817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,36.24895231,-6.113636,0,-20.89937400817871,57.14832631817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,35.92238723,-6.159091,0,-20.89937400817871,56.82176123817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,34.62318101,-6.25,0,-20.89937400817871,55.522555018178714,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,33.81663856,-6.310606,0,-20.89937400817871,54.71601256817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,32.85438749,-6.356061,0,-20.89937400817871,53.75376149817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,31.97763947,-6.416667,0,-20.89937400817871,52.87701347817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,31.343162,-6.484848,0,-20.89937400817871,52.24253600817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,30.71122536,-6.522727,0,-20.89937400817871,51.61059936817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,30.16054359,-6.545455,0,-20.89937400817871,51.059917598178714,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,28.98707597,-6.590909,0,-20.89937400817871,49.88644997817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,28.36496193,-6.636364,0,-20.89937400817871,49.26433593817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,28.05481928,-6.674242,0,-20.89937400817871,48.954193288178715,0
